,avg_tmax,avg_tmin,stdev_tmax,stdev_tmin,year,continent
0,22.087260274,12.7826712329,0,0,1900,oceania
1,22.0643835616,12.7171232877,0,0,1901,oceania
2,22.4566438356,12.6239726027,0,0,1902,oceania
3,21.9844520548,12.9093835616,0,0,1903,oceania
4,22.1693779904,12.7899521531,0,0,1904,oceania
5,22.0153424658,12.4211643836,0,0,1905,oceania
6,22.3949315068,13.0166438356,0,0,1906,oceania
7,22.4459589041,12.8111643836,0,0,1907,oceania
8,22.3032786885,12.5820355191,0,0,1908,oceania
9,22.1228082192,12.6247945205,0,0,1909,oceania
10,22.4454794521,13.1756849315,0,0,1910,oceania
11,22.2324657534,12.7828082192,0,0,1911,oceania
12,22.6661885246,13.0146174863,0,0,1912,oceania
13,22.3220547945,12.9149315068,0,0,1913,oceania
14,22.9883561644,13.3758219178,0,0,1914,oceania
15,22.7719863014,13.2520547945,0,0,1915,oceania
16,21.9881830601,12.9459016393,0,0,1916,oceania
17,21.7138356164,12.6440410959,0,0,1917,oceania
18,22.5189726027,12.8171917808,0,0,1918,oceania
19,22.7239041096,13.0960273973,0,0,1919,oceania
20,22.4081284153,12.9607923497,0,0,1920,oceania
21,22.8231506849,13.4995205479,0,0,1921,oceania
22,22.6602739726,12.7854794521,0,0,1922,oceania
23,22.6733561644,13.0656849315,0,0,1923,oceania
24,22.2346311475,12.7280054645,0,0,1924,oceania
25,22.0374657534,12.6347945205,0,0,1925,oceania
26,22.8385616438,13.1900684932,0,0,1926,oceania
27,22.2832191781,12.6980821918,0,0,1927,oceania
28,22.7648224044,13.224863388,0,0,1928,oceania
29,22.1982876712,12.6801369863,0,0,1929,oceania
30,22.5584931507,13.2488356164,0,0,1930,oceania
31,22.2960932145,12.8387936943,0,0,1931,oceania
32,22.3384562842,12.943442623,0,0,1932,oceania
33,22.3735616438,12.9340410959,0,0,1933,oceania
34,22.2855479452,12.9182191781,0,0,1934,oceania
35,22.3052739726,12.5764383562,0,0,1935,oceania
36,22.6847677596,13.0404371585,0,0,1936,oceania
37,22.5529452055,13.0949315068,0,0,1937,oceania
38,22.7437671233,13.1386566141,0,0,1938,oceania
39,22.422260274,12.8677739726,0,0,1939,oceania
40,23.0726247437,12.8212773224,0,0,1940,oceania
41,22.3837217272,12.8125771076,0,0,1941,oceania
42,22.6035958904,13.158869863,0,0,1942,oceania
43,21.9615410959,12.3093835616,0,0,1943,oceania
44,22.754451275,12.3647313297,0,0,1944,oceania
45,22.5639269406,12.7224429224,0,0,1945,oceania
46,22.5253310502,12.3784931507,0,0,1946,oceania
47,22.4530479452,12.7365410959,0,0,1947,oceania
48,22.4787568306,12.3759904372,0,0,1948,oceania
49,22.257739726,12.5485616438,0,0,1949,oceania
50,22.4242123288,12.9859589041,0,0,1950,oceania
51,22.393390411,12.3976369863,0,0,1951,oceania
52,22.4098019126,12.675307377,0,0,1952,oceania
53,22.6437100457,12.5393607306,0,0,1953,oceania
54,22.5121232877,12.7756506849,0,0,1954,oceania
55,22.4999657534,12.9569178082,0,0,1955,oceania
56,22.3678620219,12.5913592896,0,0,1956,oceania
57,22.7741438356,12.4903196347,0,0,1957,oceania
58,22.5832534247,12.9151940639,0,0,1958,oceania
59,22.5835273973,12.8986415525,0,0,1959,oceania
60,22.0756375228,12.1609403461,0,0,1960,oceania
61,22.8478995434,12.8613127854,0,0,1961,oceania
62,22.6541666667,12.7085045662,0,0,1962,oceania
63,22.3142808219,13.1564269406,0,0,1963,oceania
64,22.2945696721,12.7154030055,0,0,1964,oceania
65,22.6425228311,12.984543379,0,0,1965,oceania
66,22.2293207763,12.6846232877,0,0,1966,oceania
67,22.587739726,13.1278824201,0,0,1967,oceania
68,22.6575136612,12.8617315574,0,0,1968,oceania
69,22.9219577626,12.9799600457,0,0,1969,oceania
70,22.6546860731,12.4530365297,0,0,1970,oceania
71,22.3514052511,12.455359589,0,0,1971,oceania
72,22.9889503643,12.8238615665,0,0,1972,oceania
73,22.9121347032,13.3141027397,0,0,1973,oceania
74,22.4656609589,12.7255993151,0,0,1974,oceania
75,22.8757591324,12.9323972603,0,0,1975,oceania
76,22.8733549636,12.9196095173,0,0,1976,oceania
77,23.2429109589,12.8048230594,0,0,1977,oceania
78,22.7291381279,12.9879908676,0,0,1978,oceania
79,23.1234303653,12.9908219178,0,0,1979,oceania
80,23.4169968124,13.2046220401,0,0,1980,oceania
81,22.9079794521,13.1171232877,0,0,1981,oceania
82,23.0549200913,12.7208105023,0,0,1982,oceania
83,22.8589326484,13.4412614155,0,0,1983,oceania
84,22.4734972678,12.7065175319,0,0,1984,oceania
85,22.8417694064,13.0736073059,0,0,1985,oceania
86,22.5456849315,12.6290696347,0,0,1986,oceania
87,23.0011073059,12.9239041096,0,0,1987,oceania
88,23.5345742259,13.6390767304,0,0,1988,oceania
89,22.7198858447,12.9951141553,0,0,1989,oceania
90,22.8143093607,13.0105022831,0,0,1990,oceania
91,23.3347773973,13.0820947489,0,0,1991,oceania
92,22.3469376138,12.7246357013,0,0,1992,oceania
93,22.8674200913,12.834760274,0,0,1993,oceania
94,23.2146518265,12.6128481735,0,0,1994,oceania
95,22.6181050228,12.8572773973,0,0,1995,oceania
96,22.8848986794,12.6669740437,0,0,1996,oceania
97,23.2434086758,13.0335490868,0,0,1997,oceania
98,23.3833093607,13.3747100457,0,0,1998,oceania
99,23.1779349315,13.2672157534,0,0,1999,oceania
100,23.3375466758,13.0474260018,0,0,2000,oceania
101,23.3163961187,12.8575011416,0,0,2001,oceania
102,23.598847032,12.9537100457,0,0,2002,oceania
103,23.2697431507,13.0395262557,0,0,2003,oceania
104,23.468526867,12.9710416667,0,0,2004,oceania
105,23.4849600457,13.1484006849,0,0,2005,oceania
106,23.5543436073,12.8281484018,0,0,2006,oceania
107,23.6434703196,13.2848972603,0,0,2007,oceania
108,22.9394581056,12.8136441257,0,0,2008,oceania
109,23.7363926941,13.3473344749,0,0,2009,oceania
